Town Name,Latitude,Longitude,Date Of Crash,Number Of Motor Vehicles,Light Condition Text Format
Woodstock,41.948413,-71.957642,7/12/24,1,Daylight
Westbrook,41.290983,-72.428817,2/26/24,1,Dark-Not Lighted
Vernon,41.8271,-72.483277,7/13/24,1,Dawn
Franklin,41.576111,-72.131519,5/14/24,1,Daylight
Southington,41.599921,-72.902406,5/30/24,3,Daylight
Rocky Hill,41.673507,-72.659858,7/20/24,1,Dark-Lighted
Newtown,41.41723,-73.289693,6/12/24,2,Daylight
Glastonbury,41.73157,-72.535401,5/24/24,2,Daylight
Waterbury,41.522368,-73.03216,3/12/24,1,Daylight
Waterbury,41.55246494,-73.02598946,5/11/24,1,Dark-Not Lighted
Waterbury,41.564127,-73.048381,3/2/24,1,Dark-Lighted
Harwinton,41.778451,-73.095133,7/28/24,1,Daylight
West Haven,41.29695,-72.954453,6/16/24,1,Dark-Lighted
Waterbury,41.553576,-73.062373,1/10/24,1,Dark-Lighted
Torrington,41.848048,-73.168205,6/14/24,1,Dark-Not Lighted
Suffield,41.985509,-72.649854,7/17/24,2,Daylight
Litchfield,41.69743466,-73.10651297,8/6/24,3,Daylight
New Haven,41.307286,-72.914628,7/15/24,1,Daylight
Farmington,41.707097,-72.873768,7/28/24,1,Dark-Unknown Lighting
Enfield,41.984442,-72.518963,3/4/24,3,Dark-Lighted
Meriden,41.52851045,-72.77563738,7/31/24,2,Daylight
Hartford,41.742025,-72.676195,8/11/24,2,Daylight
Willington,41.848911,-72.302999,8/13/24,2,Daylight
Durham,41.479557,-72.677519,3/29/24,2,Daylight
Killingly,41.802032,-71.887098,8/22/24,1,Dark-Lighted
Milford,41.233988,-72.991113,6/23/24,1,Daylight
Branford,41.292674,-72.789485,8/15/24,2,Daylight
Guilford,41.348568,-72.732691,8/24/24,2,Daylight
Beacon Falls,41.434137,-73.067187,2/4/24,2,Daylight
Manchester,41.766639,-72.487642,7/15/24,2,Daylight
Groton,41.364727,-72.084478,5/30/24,2,Dark-Lighted
Preston,41.509688,-72.059191,7/21/24,1,Unknown
Griswold,41.60673,-71.912143,6/1/24,2,Daylight
Voluntown,41.589718,-71.832609,7/25/24,1,Unknown
Milford,41.232069,-73.045685,8/13/24,2,Daylight
Ridgefield,41.2693564,-73.44206414,8/25/24,2,Dark-Not Lighted
